"","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_glu","G_tru","G_fal","temp_K"
"1",0.205736853872496,-0.146968483227763,-0.00709449952266039,0.294319044050428,0.106315426364883,0.143970600989417,0.518026910730498,0.702984330688116,0.584667440369291,0.232508424699863,0.440600708091477,0.207005173518672,-0.0199486873952382,0.603730410820314
"2",0.0247056943211044,-0.131971395463801,-0.0171755337718904,-0.205842493608705,0.0241450054521647,0.21615203227829,0.214316885334299,0.376615510967499,0.0901163001307251,0.0665387429752088,-0.112525771014235,0.110417667037258,0.0665655776108754,0.561875679811706
"3",-0.101671058526596,0.332151917153503,-0.253476522865826,-0.116226075022617,0.255879859765524,0.137974492168263,0.321341191291197,0.393452390756466,0.128932931937575,0.0238733796710139,-0.148257944549756,0.175301876006014,0.169075539515598,0.587878416256815
"4",0.0529516676890439,-0.0726245707465891,0.0685583708415715,-0.0915327276327849,0.156337974584425,0.430384107052286,0.240445122318045,0.360117782615422,0.223001552323631,0.350317148969375,0.194956581183876,0.121321968339733,0.193880043609299,0.588317702798077
"5",0.101395633512572,0.0552834204876108,0.04118988205989,-0.0106044210100647,0.254504006320119,-0.241114281016487,-0.0425050648190076,0.317844820430372,0.237949989017905,0.146465835405489,0.22134706650234,0.0467878336644573,0.218746752084311,0.583106547289305
"6",0.211595050133306,0.238570930497092,0.217481457534582,0.0851976489505519,0.182813644919848,0.0732827174091343,0.179630013211212,0.472539635494678,-0.0149895686135931,-0.0181206395388165,0.000345971661575769,0.103346245787617,0.109427117317864,0.579607571390096
"7",0.0583294454773723,0.112414243707072,-0.0819293575330366,-0.0949640315499896,0.0315894109806234,-0.0670702119906639,0.189417270400901,0.556513053800113,0.315963082496092,0.194978381140647,0.0730712683031647,0.0125758880046678,0.144488122190976,0.566952882999728
"8",0.0929542944789142,-0.0813636210049381,0.144936323787413,0.145514115172908,0.148765069550975,-0.0576967438661485,0.485283684709183,0.401236055180867,0.356651912782737,-0.0856121450621796,-0.0832802725993562,0.219010350493037,0.256856369628409,0.569557420848262
"9",0.293107018133271,-0.136408782298126,0.190392174089042,0.101271011550022,0.0689730274976949,-0.115449518661583,0.410503276446215,0.208895291916823,0.307139428614611,0.19479036819123,0.0593103192083326,0.147740931440314,0.168881196101438,0.589615018094087
"10",-0.0436753573546701,-0.0874690559469448,-0.0277649444134639,0.0727310851406675,-0.0563087156823601,0.103700041827091,0.276642115165545,0.341087786031655,0.298516369389229,0.159544599886539,-0.0581359314105974,0.228567401501813,0.346875653046183,0.52998121475854
"11",0.118719366191347,-0.0347938487699189,0.0208042915122326,-0.153918398594133,0.0361025484253762,-0.0485295592188545,0.23324739586817,0.333009157904224,0.262382600080912,0.129312910041734,-0.104346275162295,0.0624879485934287,0.0915412363539882,0.577535519267588
