"","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cal","G_cra","G_tru","G_bul","G_fal","temp_K"
"1",0.117740764153642,0.130344918028427,0.0134844401258659,0.27728723222879,0.200017623055004,0.330856843445569,0.134730983204072,0.316133994162896,0.549407662296659,0.232540015013612,0.306711668120534,0.217456605454768,0.023909851139134,0.277596374575948
"2",-0.0851003089401496,-0.0169122830633044,-0.0191450426487778,-0.116909490110181,0.143147698524027,0.0188346226497974,0.132746258370932,0.0686518879979254,0.123050052009486,0.0578643547232503,-0.0185882478427279,-0.0329070462436084,0.0481467839036649,0.288969281488847
"3",0.148621671414245,-0.0485165890779682,0.111591049408999,-0.13045015285484,0.154595429936777,-0.0653957108099362,0.0951636322913653,0.0498246430112571,0.103377200406729,0.0467103814292262,0.153902931287268,-0.0410619023164016,0.0108231984669351,0.304535382685779
"4",-0.0154387649564283,-0.0725747176726872,0.136676278509432,-0.0239829253265959,0.145137287825215,-0.059274181838038,0.0724033270842752,0.18859932513316,0.141424620167548,-0.127391074715009,0.189629856001414,0.124144138930314,-0.149070083482145,0.298298949179545
"5",-0.0139384407409815,0.0482943968783821,0.0716888825583188,-0.00319500591396025,-0.0375708445397515,0.00488742496125249,0.151348987124922,0.12268450565372,0.0647509059328999,0.0148914332306153,0.104875716743741,0.178913834296866,0.0404428392468813,0.333822319680019
"6",0.039646249977869,-0.068448137557671,-0.0236546609475238,0.116733113209462,0.0412541505624013,0.147181836718103,0.1059702534394,0.070333150900434,0.155506249473743,0.108698658780115,0.07791268959947,0.00193561698073855,-0.0369165156210814,0.307761615253591
"7",0.0567627874223685,0.15524972623887,0.0786717984611118,0.212004364487749,-0.082212936591151,0.0316753633764486,-0.0187166674234153,0.0896393284123625,-0.00892403345577445,0.0990493524694524,0.154660261689732,-0.0400160248306824,-0.0616712542405053,0.22696224254672
"8",-0.0160226518564351,-0.131217029595515,0.150956643925746,0.139231167289366,-0.0547109387803963,-0.0261663886082794,-0.10338868794592,0.0960612477078636,0.102354884460977,0.0970441975332001,0.155228136877435,-0.049748644931983,0.0392245128575266,0.231147843220142
"9",0.00486454911694644,0.0885688117704648,0.0864981972668967,-0.0582821826489002,0.0465499490103803,-0.052889095846005,0.0464463459686803,0.10676341966238,0.192569807063007,-0.0621919631111335,0.114906324824272,0.0165429973711076,-0.0433646533710049,0.288939194723806
"10",-0.0414132067618435,-0.0362288187229963,-0.0375494435196189,0.219460805311324,0.0641332651304291,-0.137522511233041,0.175292473374825,0.00606990207025544,0.138216261462622,0.0988609006588217,0.135211642105996,-0.119717639890634,0.00660874900132466,0.240506462337536
"11",0.273084170364647,0.0264762029029167,0.154132163203901,0.120668981477718,-0.025451822868279,0.0324289930641492,-0.0348811961808333,0.115002761451923,0.263981741011079,0.177792938915504,0.153157674811162,0.0217256736766859,0.0476538942066888,0.29570562516354
"12",0.057852312192799,0.0408721301307444,0.184559263893478,-0.0093728469620883,0.0919761202062241,-0.110689644851124,0.0681673667223434,0.0267768353186876,0.164402422562616,-0.0670064027471641,0.063297345376483,-0.0584272733855516,-0.072341447155092,0.24565172894711
"13",0.0223138674265785,0.120843213554024,-0.0736131965335436,0.123231906816597,-0.0459327848985673,0.0408077499967369,-0.102353830610635,-0.036957591824685,0.223925059197662,0.0353828302732016,0.154044280626059,0.0437628288936926,0.0504925667017197,0.325041574434287
