"","G_men","G_sip","O_uni","G_sac","G_rubp","G_rubw","P_obl","N_dut","G_cra","G_glu","G_tru","G_bul","G_fal","temp_K"
"1",0.250593287440179,0.15571868026615,0.186848844271873,0.284687273543761,0.251935363382326,0.254468361618448,0.436584364089504,0.546405712311117,0.123969754052665,0.479492902670626,0.338943510005859,0.46372476553802,0.163629262654268,0.528664818019282
"2",0.0260491956143479,0.0462823097944943,-0.0166189120824731,0.0678727185242693,0.013373499828256,-0.108052495454272,0.157157028553724,0.271131588427954,0.100375874529183,0.115286789166653,0.0952479536064575,0.139352638124716,-0.00050691232297686,0.43087429119176
"3",0.0981301072667591,0.0481443466819914,0.211704916007607,6.2611851843943e-07,-0.142272560067453,-0.0622870044577371,0.222348559041535,0.28139920302776,0.200309263549967,0.263415768093405,0.0840168370523691,0.268720422259299,0.0932248292187266,0.441655329958999
"4",0.220948330032027,-0.064598536378416,0.242520183941657,0.00587435840473501,-0.0778845037527772,0.0184367589828897,0.194628436872245,0.240471188530893,0.060941228337051,0.188785517476466,-0.0367121238486809,0.203916076240708,0.0792963248484621,0.474453242882668
"5",-0.00676661704084672,0.0694004587527808,0.0747667024599876,0.00621973031077667,0.0517674703720493,0.00274591962506385,0.303321596705708,0.238559996200136,0.136317820634847,0.0197813014339224,0.174297100441081,0.0617287787722469,0.0697508052117488,0.470561597574287
"6",0.149639700241496,-0.0924499401557033,0.190426255868444,0.0630035428148392,0.0863175783316428,0.0859387766159404,0.240304005396613,0.132371039280958,0.178282391698266,0.181655078849706,0.0122084376504261,0.114315053147698,0.045889466750364,0.493902839022023
"7",0.019410485394616,-0.163831840166153,0.331783583018146,-0.0494376761662204,0.146870338003507,0.0594228525475113,-0.0576516463948252,0.1717256426731,0.0360098208768435,0.101238638388824,0.140565674921886,0.0721140896467866,0.0127021612087936,0.494297680747325
"8",0.1355647104161,0.142885055872843,0.252151071839993,0.0347969062538699,0.156565453368469,0.04072097315936,0.0823174157657867,0.231826218906172,0.188386282091752,0.0319831207499637,0.127067061765404,0.060811384414393,0.0602640769518994,0.446439811982381
"9",0.177855245389357,0.013329557784886,-0.0807390835853206,0.0846863957574478,0.0638050200485759,-0.0968496846476192,0.283475345996168,0.267072007978489,0.184382415994977,0.192433449166134,0.165354120370126,-0.00260832307978535,-0.0376932631970649,0.480038093412617
"10",0.0619132610923455,0.0369458212552943,0.155510138030235,0.203353016882999,-0.0599228137181326,0.0701758497712647,0.305279496719174,0.155666966046536,0.0918224978692428,0.0601061427010448,0.0154399524119093,-0.00873101270245606,-0.0187407774630014,0.480589473586524
"11",-0.0759234754109277,0.030248554667191,0.255028691147985,0.0163020956581749,-0.0214298435833593,0.0715791167224478,0.254476355390982,-0.0211768656301347,0.0629547902980499,0.124691425331306,-0.0121981051987693,0.0838017033851606,-0.00482219918227761,0.482384061653683
